Rk	Pos	Name	Age	G	PA	AB	R	H	2B	3B	HR	RBI	SB	CS	BB	SO	BA	OBP	SLG	OPS	OPS+	TB	GDP	HBP	SH	SF	IBB
23		Lyle Overbay*	24	2	2	2	0	1	0	0	0	0	0	0	0	1	.500	.500	.500	1.000	153	1	0	0	0	0	0
24		Rob Ryan*	28	1	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
25	3B	Juan Sosa	25	2	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
26	C	Ken Huckaby	30	1	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
27	P	Curt Schilling	34	34	98	83	4	11	1	0	0	1	0	0	1	28	.133	.143	.145	.287	-27	12	0	0	14	0	0
28	P	Randy Johnson	37	33	91	80	2	8	0	0	0	2	0	0	3	38	.100	.143	.100	.243	-37	8	3	1	7	0	0
29	P	Brian Anderson*	29	31	37	37	1	5	1	1	0	2	0	0	0	9	.135	.135	.216	.351	-14	8	2	0	0	0	0
30	P	Miguel Batista	30	46	36	32	2	2	0	0	0	0	0	0	2	17	.063	.118	.063	.180	-53	2	0	0	2	0	0
31	P	Albie Lopez	29	13	29	24	0	1	0	0	0	0	0	0	2	10	.042	.148	.042	.190	-49	1	1	1	2	0	0
32	P	Robert Ellis	30	17	28	26	2	4	0	0	0	1	0	0	1	12	.154	.185	.154	.339	-13	4	0	0	1	0	0
33	P	Bobby Witt	37	14	13	12	0	3	0	0	0	0	0	0	0	7	.250	.250	.250	.500	26	3	0	0	1	0	0
34	P	Armando Reynoso	35	8	13	10	0	1	1	0	0	2	0	0	0	3	.100	.100	.200	.300	-27	2	0	0	3	0	0
35	P	Nick Bierbrodt*	23	6	10	6	3	4	1	0	0	0	0	0	2	0	.667	.750	.833	1.583	297	5	0	0	2	0	0
36	P	Byung-Hyun Kim	22	74	6	6	0	1	0	0	0	2	0	0	0	2	.167	.167	.167	.333	-16	1	0	0	0	0	0
37	P	Mike Morgan	41	31	1	0	0	0	0	0	0	0	0	0	1	0		1.000				0	0	0	0	0	0
38	P	Geraldo Guzman	28	4	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
39	P	Mike Koplove	24	9	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	0
40	P	Troy Brohawn*	28	57	1	1	0	0	0	0	0	0	0	0	0	0	.000	.000	.000	.000	-100	0	0	0	0	0	0
41	P	Eric Knott*	26	3	1	1	0	0	0	0	0	0	0	0	0	1	.000	.000	.000	.000	-100	0	0	0	0	0	
